year,metric,value
2020,Operating income,19500
2020,Operating expenses,7600
2020,Impairment charges,3500
2020,Net interest income,11000
2020,Net profit,8400
2021,Operating income,21000
2021,Operating expenses,8000
2021,Impairment charges,3200
2021,Net interest income,12000
2021,Net profit,9800
2022,Operating income,23000
2022,Operating expenses,8300
2022,Impairment charges,2800
2022,Net interest income,13000
2022,Net profit,11900
2023,Operating income,25500
2023,Operating expenses,8700
2023,Impairment charges,2600
2023,Net interest income,14000
2023,Net profit,14200
2024,Operating income,29000
2024,Operating expenses,9100
2024,Impairment charges,2400
2024,Net interest income,15500
2024,Net profit,17500
