year,metric,value
2020,Operating income,18000
2020,Operating expenses,7500
2020,Impairment charges,3300
2020,Net interest income,10500
2020,Net profit,7200
2021,Operating income,19000
2021,Operating expenses,7800
2021,Impairment charges,3100
2021,Net interest income,11000
2021,Net profit,8100
2022,Operating income,21000
2022,Operating expenses,8000
2022,Impairment charges,2900
2022,Net interest income,11800
2022,Net profit,10100
2023,Operating income,23000
2023,Operating expenses,8300
2023,Impairment charges,2700
2023,Net interest income,12500
2023,Net profit,12000
2024,Operating income,25500
2024,Operating expenses,8600
2024,Impairment charges,2600
2024,Net interest income,13500
2024,Net profit,14300
